#separator:tab
#html:true
#notetype:Basic
#deck:Deutsch::不规则动词
#tags column:3
abschneiden	<div class="irregular-verb-card"><h3>abschneiden</h3><table><tr><th>中文</th><td>剪下；表现（结果） / 剪下</td></tr><tr><th>过去式</th><td>schnitt ab</td></tr><tr><th>第二分词</th><td>abgeschnitten</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
abwenden	<div class="irregular-verb-card"><h3>abwenden</h3><table><tr><th>中文</th><td>避免；转开 / 转开；避免</td></tr><tr><th>过去式</th><td>wendete/wandte ab</td></tr><tr><th>第二分词</th><td>abgewendet/abgewandt</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
angeben	<div class="irregular-verb-card"><h3>angeben</h3><table><tr><th>中文</th><td>说明，给出；炫耀 / 说明；吹嘘</td></tr><tr><th>过去式</th><td>gab an</td></tr><tr><th>第二分词</th><td>angegeben</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
angreifen	<div class="irregular-verb-card"><h3>angreifen</h3><table><tr><th>中文</th><td>攻击，进攻 / 攻击</td></tr><tr><th>过去式</th><td>griff an</td></tr><tr><th>第二分词</th><td>angegriffen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
ankommen	<div class="irregular-verb-card"><h3>ankommen</h3><table><tr><th>中文</th><td>到达 / 取决于</td></tr><tr><th>过去式</th><td>kam an</td></tr><tr><th>第二分词</th><td>angekommen</td></tr><tr><th>助动词</th><td>sein</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
anschließen	<div class="irregular-verb-card"><h3>anschließen</h3><table><tr><th>中文</th><td>连接 / 跟随</td></tr><tr><th>过去式</th><td>schloss an</td></tr><tr><th>第二分词</th><td>angeschlossen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
anschwellen	<div class="irregular-verb-card"><h3>anschwellen</h3><table><tr><th>中文</th><td>肿胀；上涨，增强 / 肿胀；上涨</td></tr><tr><th>过去式</th><td>schwoll an</td></tr><tr><th>第二分词</th><td>angeschwollen</td></tr><tr><th>助动词</th><td>sein</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
ansprechen	<div class="irregular-verb-card"><h3>ansprechen</h3><table><tr><th>中文</th><td>与...说话；提及；吸引 / 搭话；提及</td></tr><tr><th>过去式</th><td>sprach an</td></tr><tr><th>第二分词</th><td>angesprochen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
ansteigen	<div class="irregular-verb-card"><h3>ansteigen</h3><table><tr><th>中文</th><td>上升 / 增加</td></tr><tr><th>过去式</th><td>stieg an</td></tr><tr><th>第二分词</th><td>angestiegen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
anwenden	<div class="irregular-verb-card"><h3>anwenden</h3><table><tr><th>中文</th><td>应用，使用 / 应用</td></tr><tr><th>过去式</th><td>wendete/wandte an</td></tr><tr><th>第二分词</th><td>angewendet/angewandt</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
aufblasen	<div class="irregular-verb-card"><h3>aufblasen</h3><table><tr><th>中文</th><td>吹气，充气 / 吹起；充气</td></tr><tr><th>过去式</th><td>blies auf</td></tr><tr><th>第二分词</th><td>aufgeblasen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
aufladen	<div class="irregular-verb-card"><h3>aufladen</h3><table><tr><th>中文</th><td>装载，充电 / 充电；装载</td></tr><tr><th>过去式</th><td>lud auf</td></tr><tr><th>第二分词</th><td>aufgeladen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
auskennen	<div class="irregular-verb-card"><h3>auskennen</h3><table><tr><th>中文</th><td>熟悉</td></tr><tr><th>过去式</th><td>kannte aus</td></tr><tr><th>第二分词</th><td>ausgekannt</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
ausschließen	<div class="irregular-verb-card"><h3>ausschließen</h3><table><tr><th>中文</th><td>排除</td></tr><tr><th>过去式</th><td>schloss aus</td></tr><tr><th>第二分词</th><td>ausgeschlossen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
ausschneiden	<div class="irregular-verb-card"><h3>ausschneiden</h3><table><tr><th>中文</th><td>剪出</td></tr><tr><th>过去式</th><td>schnitt aus</td></tr><tr><th>第二分词</th><td>ausgeschnitten</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
aussprechen	<div class="irregular-verb-card"><h3>aussprechen</h3><table><tr><th>中文</th><td>发音；说出，表达 / 发音；说出</td></tr><tr><th>过去式</th><td>sprach aus</td></tr><tr><th>第二分词</th><td>ausgesprochen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
befehlen	<div class="irregular-verb-card"><h3>befehlen</h3><table><tr><th>中文</th><td>命令，指挥 / 命令</td></tr><tr><th>现在时</th><td>befiehlst, befiehlt</td></tr><tr><th>过去式</th><td>befahl</td></tr><tr><th>第二分词</th><td>befohlen</td></tr><tr><th>命令式</th><td>befiehl</td></tr><tr><th>第二虚拟式</th><td>beföhle / befähle</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
beginnen	<div class="irregular-verb-card"><h3>beginnen</h3><table><tr><th>中文</th><td>开始</td></tr><tr><th>现在时</th><td>beginnst, beginnt</td></tr><tr><th>过去式</th><td>begann</td></tr><tr><th>第二分词</th><td>begonnen</td></tr><tr><th>命令式</th><td>beginn(e)</td></tr><tr><th>第二虚拟式</th><td>begänne / begönne</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
bestehen	<div class="irregular-verb-card"><h3>bestehen</h3><table><tr><th>中文</th><td>存在 / 通过 / 坚持 / 存在；通过</td></tr><tr><th>过去式</th><td>bestand</td></tr><tr><th>第二分词</th><td>bestanden</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
bewegen	<div class="irregular-verb-card"><h3>bewegen</h3><table><tr><th>中文</th><td>移动；感动；促使 / 促使；移动</td></tr><tr><th>过去式</th><td>bewog/bewegte</td></tr><tr><th>第二分词</th><td>bewogen/bewegt</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
beweisen	<div class="irregular-verb-card"><h3>beweisen</h3><table><tr><th>中文</th><td>证明，证实 / 证明</td></tr><tr><th>现在时</th><td>beweist, beweist</td></tr><tr><th>过去式</th><td>bewies</td></tr><tr><th>第二分词</th><td>bewiesen</td></tr><tr><th>命令式</th><td>beweis(e)</td></tr><tr><th>第二虚拟式</th><td>bewiese</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
biegen	<div class="irregular-verb-card"><h3>biegen</h3><table><tr><th>中文</th><td>弯曲；转弯</td></tr><tr><th>现在时</th><td>biegst, biegt</td></tr><tr><th>过去式</th><td>bog</td></tr><tr><th>第二分词</th><td>gebogen</td></tr><tr><th>助动词</th><td>haben/sein</td></tr><tr><th>命令式</th><td>bieg(e)</td></tr><tr><th>第二虚拟式</th><td>böge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
bieten	<div class="irregular-verb-card"><h3>bieten</h3><table><tr><th>中文</th><td>提供 / 给予</td></tr><tr><th>现在时</th><td>bietest, bietet</td></tr><tr><th>过去式</th><td>bot</td></tr><tr><th>第二分词</th><td>geboten</td></tr><tr><th>命令式</th><td>biet(e)</td></tr><tr><th>第二虚拟式</th><td>böte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
bitten	<div class="irregular-verb-card"><h3>bitten</h3><table><tr><th>中文</th><td>请求 / 邀请</td></tr><tr><th>现在时</th><td>bittest, bittet</td></tr><tr><th>过去式</th><td>bat</td></tr><tr><th>第二分词</th><td>gebeten</td></tr><tr><th>命令式</th><td>bitt(e)</td></tr><tr><th>第二虚拟式</th><td>bäte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
bleiben	<div class="irregular-verb-card"><h3>bleiben</h3><table><tr><th>中文</th><td>停留，保持 / 停留</td></tr><tr><th>现在时</th><td>bleibst, bleibt</td></tr><tr><th>过去式</th><td>blieb</td></tr><tr><th>第二分词</th><td>geblieben</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>bleib(e)</td></tr><tr><th>第二虚拟式</th><td>bliebe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
brechen	<div class="irregular-verb-card"><h3>brechen</h3><table><tr><th>中文</th><td>打破 / 折断 / 打破；折断</td></tr><tr><th>现在时</th><td>brichst, bricht</td></tr><tr><th>过去式</th><td>brach</td></tr><tr><th>第二分词</th><td>gebrochen</td></tr><tr><th>助动词</th><td>haben/sein</td></tr><tr><th>命令式</th><td>brich</td></tr><tr><th>第二虚拟式</th><td>bräche</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
brennen	<div class="irregular-verb-card"><h3>brennen</h3><table><tr><th>中文</th><td>燃烧；烧灼 / 燃烧</td></tr><tr><th>现在时</th><td>brennst, brennt</td></tr><tr><th>过去式</th><td>brannte</td></tr><tr><th>第二分词</th><td>gebrannt</td></tr><tr><th>命令式</th><td>brenn(e)</td></tr><tr><th>第二虚拟式</th><td>brennte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
bringen	<div class="irregular-verb-card"><h3>bringen</h3><table><tr><th>中文</th><td>带来 / 拿来</td></tr><tr><th>现在时</th><td>bringst, bringt</td></tr><tr><th>过去式</th><td>brachte</td></tr><tr><th>第二分词</th><td>gebracht</td></tr><tr><th>命令式</th><td>bring(e)</td></tr><tr><th>第二虚拟式</th><td>brächte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
denken	<div class="irregular-verb-card"><h3>denken</h3><table><tr><th>中文</th><td>想 / 认为 / 想；认为</td></tr><tr><th>现在时</th><td>denkst, denkt</td></tr><tr><th>过去式</th><td>dachte</td></tr><tr><th>第二分词</th><td>gedacht</td></tr><tr><th>命令式</th><td>denk(e)</td></tr><tr><th>第二虚拟式</th><td>dächte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
dürfen	<div class="irregular-verb-card"><h3>dürfen</h3><table><tr><th>中文</th><td>可以 / 允许</td></tr><tr><th>现在时</th><td>darfst, darf</td></tr><tr><th>过去式</th><td>durfte</td></tr><tr><th>第二分词</th><td>gedurft</td></tr><tr><th>第二虚拟式</th><td>dürfte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
einlassen	<div class="irregular-verb-card"><h3>einlassen</h3><table><tr><th>中文</th><td>让...进入；卷入，参与 / 让进入；参与</td></tr><tr><th>过去式</th><td>ließ ein</td></tr><tr><th>第二分词</th><td>eingelassen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
einschließen	<div class="irregular-verb-card"><h3>einschließen</h3><table><tr><th>中文</th><td>锁入，关起来 / 包括，包含 / 包含；锁入</td></tr><tr><th>过去式</th><td>schloss ein</td></tr><tr><th>第二分词</th><td>eingeschlossen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
empfehlen	<div class="irregular-verb-card"><h3>empfehlen</h3><table><tr><th>中文</th><td>推荐；建议 / 推荐</td></tr><tr><th>现在时</th><td>empfiehlst, empfiehlt</td></tr><tr><th>过去式</th><td>empfahl</td></tr><tr><th>第二分词</th><td>empfohlen</td></tr><tr><th>命令式</th><td>empfiehl</td></tr><tr><th>第二虚拟式</th><td>empföhle / empfähle</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
entscheiden	<div class="irregular-verb-card"><h3>entscheiden</h3><table><tr><th>中文</th><td>决定 / 裁决</td></tr><tr><th>现在时</th><td>entscheidest, entscheidet</td></tr><tr><th>过去式</th><td>entschied</td></tr><tr><th>第二分词</th><td>entschieden</td></tr><tr><th>命令式</th><td>entscheid(e)</td></tr><tr><th>第二虚拟式</th><td>entschiede</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
entwerfen	<div class="irregular-verb-card"><h3>entwerfen</h3><table><tr><th>中文</th><td>设计，构思 / 起草，草拟 / 设计；起草</td></tr><tr><th>过去式</th><td>entwarf</td></tr><tr><th>第二分词</th><td>entworfen</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
erbringen	<div class="irregular-verb-card"><h3>erbringen</h3><table><tr><th>中文</th><td>带来，产生（结果、证据等） / 提供；完成</td></tr><tr><th>过去式</th><td>erbrachte</td></tr><tr><th>第二分词</th><td>erbracht</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
ergeben	<div class="irregular-verb-card"><h3>ergeben</h3><table><tr><th>中文</th><td>产生；得出</td></tr><tr><th>过去式</th><td>ergab</td></tr><tr><th>第二分词</th><td>ergeben</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
erschrecken	<div class="irregular-verb-card"><h3>erschrecken</h3><table><tr><th>中文</th><td>惊吓，使害怕 / 受惊；吓到</td></tr><tr><th>过去式</th><td>erschrak/erschreckte</td></tr><tr><th>第二分词</th><td>erschrocken/erschreckt</td></tr><tr><th>助动词</th><td>haben/sein</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
erwerben	<div class="irregular-verb-card"><h3>erwerben</h3><table><tr><th>中文</th><td>获得，购买 / 获得</td></tr><tr><th>现在时</th><td>erwirbst, erwirbt</td></tr><tr><th>过去式</th><td>erwarb</td></tr><tr><th>第二分词</th><td>erworben</td></tr><tr><th>命令式</th><td>erwirb</td></tr><tr><th>第二虚拟式</th><td>erwürbe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
essen	<div class="irregular-verb-card"><h3>essen</h3><table><tr><th>中文</th><td>吃</td></tr><tr><th>现在时</th><td>isst, isst</td></tr><tr><th>过去式</th><td>aß</td></tr><tr><th>第二分词</th><td>gegessen</td></tr><tr><th>命令式</th><td>iss</td></tr><tr><th>第二虚拟式</th><td>äße</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fahren	<div class="irregular-verb-card"><h3>fahren</h3><table><tr><th>中文</th><td>驾驶，乘车 / 驾驶；行驶 / 行驶；乘车</td></tr><tr><th>现在时</th><td>fährst, fährt</td></tr><tr><th>过去式</th><td>fuhr</td></tr><tr><th>第二分词</th><td>gefahren</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>fahr(e)</td></tr><tr><th>第二虚拟式</th><td>führe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fallen	<div class="irregular-verb-card"><h3>fallen</h3><table><tr><th>中文</th><td>下跌 / 掉落</td></tr><tr><th>现在时</th><td>fällst, fällt</td></tr><tr><th>过去式</th><td>fiel</td></tr><tr><th>第二分词</th><td>gefallen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>fall(e)</td></tr><tr><th>第二虚拟式</th><td>fiele</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fangen	<div class="irregular-verb-card"><h3>fangen</h3><table><tr><th>中文</th><td>捕捉 / 抓住</td></tr><tr><th>现在时</th><td>fängst, fängt</td></tr><tr><th>过去式</th><td>fing</td></tr><tr><th>第二分词</th><td>gefangen</td></tr><tr><th>命令式</th><td>fang(e)</td></tr><tr><th>第二虚拟式</th><td>finge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
finden	<div class="irregular-verb-card"><h3>finden</h3><table><tr><th>中文</th><td>找到，认为 / 找到</td></tr><tr><th>现在时</th><td>findest, findet</td></tr><tr><th>过去式</th><td>fand</td></tr><tr><th>第二分词</th><td>gefunden</td></tr><tr><th>命令式</th><td>find(e)</td></tr><tr><th>第二虚拟式</th><td>fände</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fliegen	<div class="irregular-verb-card"><h3>fliegen</h3><table><tr><th>中文</th><td>飞；飞行 / 飞</td></tr><tr><th>现在时</th><td>fliegst, fliegt</td></tr><tr><th>过去式</th><td>flog</td></tr><tr><th>第二分词</th><td>geflogen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>flieg(e)</td></tr><tr><th>第二虚拟式</th><td>flöge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fließen	<div class="irregular-verb-card"><h3>fließen</h3><table><tr><th>中文</th><td>流动</td></tr><tr><th>现在时</th><td>fließt, fließt</td></tr><tr><th>过去式</th><td>floss</td></tr><tr><th>第二分词</th><td>geflossen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>fließ(e)</td></tr><tr><th>第二虚拟式</th><td>flösse</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
